"komentar","label","preprocessedKomentar"
"Polisi ikut serta dalam upaya pencarian korban hilang di sungai","netral","polisi ikut upaya cari korban hilang sungai"
"Di acara pernikahan pejabat desa, terlihat beberapa polisi menjaga lokasi","netral","acara nikah jabat desa lihat beberapa polisi jaga lokasi"
"Polisi membantu mengarahkan kendaraan parkir saat acara sekolah","netral","polisi bantu arah kendara parkir acara sekolah"
"Saya lihat polisi berjalan kaki mengelilingi pasar tradisional","netral","lihat polisi jalan kaki keliling pasar tradisional"
"Polisi hadir di rapat koordinasi penanganan stunting tingkat kelurahan","netral","polisi hadir rapat koordinasi tangan stunting tingkat lurah"
"Beberapa polisi tampak berdiri di pinggir jalan tanpa banyak interaksi","netral","beberapa polisi tampak diri pinggir jalan banyak interaksi"
"Polisi duduk di depan masjid besar saat malam Ramadhan, tidak berkeliling","netral","polisi duduk depan masjid besar malam ramadhan keliling"
"Saya lihat polisi sedang diskusi dengan Linmas di balai desa","netral","lihat polisi sedang diskusi linmas balai desa"
"Mobil patroli berhenti sebentar di depan rumah sakit, lalu lanjut jalan","netral","mobil patroli henti bentar depan rumah sakit lalu lanjut jalan"
"Polisi terlihat bersepeda bersama komunitas olahraga saat Minggu pagi","netral","polisi lihat sepeda sama komunitas olahraga minggu pagi"
"Di depan mall, ada petugas polisi yang berjaga dari pukul 10 pagi sampai sore","netral","depan memall tugas polisi jaga pukul pagi sore"
"Polisi terlihat memasang spanduk imbauan tertib lalu lintas di pinggir jalan","netral","polisi lihat pasang spanduk imbau tertib lalu lintas pinggir jalan"
"Saya melihat petugas menulis laporan di meja pos pinggir jalan tanpa banyak bicara","netral","lihat tugas tulis lapor meja pos pinggir jalan banyak bicara"
"Polisi duduk bersama perangkat desa saat kegiatan penyuluhan hukum","netral","polisi duduk sama angkat desa giat suluh hukum"
"Saat acara lomba desa, polisi hadir tapi hanya berdiri mengamati kerumunan","netral","acara lomba desa polisi hadir diri amat kerumun"
"Polisi sesekali terlihat mampir ke warung warga untuk ngobrol ringan","netral","polisi sekali lihat mampir warung warga obrol ringan"
"Saya melihat dua petugas polisi mencatat plat kendaraan di area parkir liar","netral","lihat tugas polisi catat plat kendara area parkir liar"
"Polisi ikut mendampingi pengukuran ulang tanah oleh BPN di desa","netral","polisi ikut damping ukur ulang tanah bpn desa"
"Saat listrik padam, polisi berdiri di perempatan untuk arahkan kendaraan","netral","listrik padam polisi diri empat arah kendara"
"Polisi membantu menjaga keamanan bazar malam Ramadhan di alun-alun","netral","polisi bantu jaga aman bazar malam ramadh alun"
"Polisi terlihat menempelkan pengumuman di papan informasi desa","netral","polisi lihat tempel umum papan informasi desa"
"Petugas polisi hadir di acara sunatan massal, hanya memantau","netral","tugas polisi hadir acara sunat massal pantau"
"Saat ada pawai budaya, polisi berjaga di sisi jalan tanpa masuk ke kerumunan","netral","pawai budaya polisi jaga sisi jalan masuk kerumun"
"Polisi tampak membantu pembukaan jalan saat ada truk mogok di tanjakan","netral","polisi tampak bantu buka jalan truk mogok tanjak"
"Polisi sesekali mengatur jalan alternatif saat terjadi perbaikan jalan utama","netral","polisi sekali atur jalan alternatif jadi baik jalan utama"
"Polisi terlihat ikut rapat koordinasi dengan pihak kecamatan dan desa","netral","polisi lihat ikut rapat koordinasi pihak camat desa"
"Saya melihat petugas membawa pengeras suara dan membacakan imbauan keliling kampung","netral","lihat tugas bawa keras suara baca imbau keliling kampung"
"Di pelataran parkir stadion, beberapa polisi terlihat mencatat kendaraan pengunjung","netral","latar parkir stadion beberapa polisi lihat catat kendara kunjung"
"Polisi hadir dalam pelatihan tanggap bencana yang diadakan BPBD","netral","polisi hadir latih tanggap bencana diada bpbd"
"Saat acara donor darah, polisi hanya hadir sebagai peserta pasif","netral","acara donor darah polisi hadir serta pasif"
"Di terminal bis, polisi duduk memantau aktivitas penumpang keluar masuk","netral","terminal bis polisi duduk pantau aktivitas tumpang keluar masuk"
"Terima kasih polisi sudah membantu saat banjir kemarin","positif","terima kasih polisi bantu banjir kemarin"
"SIM sekarang bisa dibuat dengan lebih cepat, mantap!","positif","sim sekarang buat lebih cepat mantap"
"Polisi cepat tanggap saat kecelakaan terjadi di dekat rumah","positif","polisi cepat tanggap celaka jadi dekat rumah"
"Penanganan kasus saya cukup memuaskan, profesional","positif","tangan kasus cukup puas profesional"
"Polisi ramah saat saya lapor kehilangan dompet","positif","polisi ramah lapor hilang dompet"
"Terima kasih sudah menjaga lalu lintas saat Idul Fitri","positif","terima kasih jaga lalu lintas idul fitri"
"Polisi datang tepat waktu saat saya butuh bantuan","positif","polisi datang tepat waktu butuh bantu"
"Patroli malam membuat lingkungan terasa lebih aman","positif","patroli malam buat lingkung rasa lebih aman"
"Respons call center cepat, tidak bertele-tele","positif","respons call center cepat tele tele"
"Pelayanan di Satpas makin rapi dan teratur sekarang","positif","layan satpas makin rapi atur sekarang"
"Polisi sangat membantu saat evakuasi warga","positif","polisi sangat bantu evakuasi warga"
"Pendekatan humanis polisi di acara desa patut diapresiasi","positif","dekat humanis polisi acara desa patut apresiasi"
"Saya terbantu saat pengawalan ambulans, terima kasih","positif","bantu kawal ambulans terima kasih"
"Pos polisi aktif selama musim mudik, sangat berguna","positif","pos polisi aktif lama musim mudik sangat guna"
"Polisi bantu menenangkan warga saat kebakaran","positif","polisi bantu tenang warga bakar"
"Sosialisasi anti-narkoba di sekolah sangat bagus","positif","sosialisasi anti menarkoba sekolah sangat bagus"
"Polisi sopan dan santun waktu razia kendaraan","positif","polisi sopan santun waktu razia kendara"
"Anak saya senang ikut program Polisi Sahabat Anak","positif","anak senang ikut program polisi sahabat anak"
"Penanganan unjuk rasa berjalan damai, salut!","positif","tangan unjuk rasa jalan damai salut"
"Pelayanan SKCK sekarang lebih efisien dari sebelumnya","positif","layan skck sekarang lebih efisien belum"
"Polisi hadir setiap acara besar, bikin tenang","positif","polisi hadir acara besar bikin tenang"
"Terima kasih sudah bantu arahkan kendaraan saat macet","positif","terima kasih bantu arah kendara macet"
"Proaktif dalam patroli wilayah perumahan","positif","proaktif patroli wilayah rumah"
"Polisi ramah saat saya tanya arah","positif","polisi ramah tanya arah"
"Aman saat konvoi karena ada pengawalan polisi","positif","aman konvoi kawal polisi"
"Polisi rajin edukasi warga soal keselamatan jalan","positif","polisi rajin edukasi warga soal selamat jalan"
"Saya merasa lebih tenang karena sering lihat patroli","positif","rasa lebih tenang sering lihat patroli"
"SIM saya hilang, proses buat ulang cepat dan mudah","positif","sim hilang proses buat ulang cepat mudah"
"Pengamanan oleh polisi pada kegiatan lomba desa berjalan rapi","positif","aman polisi giat lomba desa jalan rapi"
"Polisi bantu pengamanan hajatan keluarga saya","positif","polisi bantu aman hajat keluarga"
"Ramah saat memberi pengarahan saat operasi lalu lintas","positif","ramah beri arah operasi lalu lintas"
"Bersyukur polisi cepat tanggap saat bencana","positif","syukur polisi cepat tanggap bencana"
"Edukasi hukum di kampung sangat bermanfaat","positif","edukasi hukum kampung sangat manfaat"
"Respectt saat kegiatan malam Ramadhan, polisi berjaga nonstop","positif","respectt giat malam ramadh polisi jaga nonstop"
"Polisi sigap saat ada pohon tumbang di jalan raya","positif","polisi sigap pohon tumbang jalan raya"
"Terima kasih sudah bantu warga saat banjir bandang","positif","terima kasih bantu warga banjir bandang"
"Aksi pengamanan malam tahun baru tertib dan aman","positif","aksi aman malam tahun baru tertib aman"
"Anak-anak senang diajak kenalan dengan polisi","positif","anak senang ajak kenal polisi"
"Penangananpolisi pada kasus tertentu sudah cepat dan komunikatif","positif","penangananpolisi kasus tentu cepat komunikatif"
"Polisi aktif dalam penyuluhan kekerasan dalam rumah tangga","positif","polisi aktif suluh keras rumah tangga"
"Terbantu saat ada pengawalan jenazah dari luar kota","positif","bantu kawal jenazah luar kota"
"Polisi langsung merespons laporan kehilangan HP saya","positif","polisi langsung respons lapor hilang hp"
"Aman saat salat Id karena pengamanan yang baik","positif","aman salat id aman baik"
"Saya merasa lebih tenang sejak polisi sering keliling","positif","rasa lebih tenang sejak polisi sering keliling"
"Ada perbaikan nyata dalam pelayanan publik","positif","baik nyata layan publik"
"Polisi bantu buka jalan saat macet total di tol","positif","polisi bantu buka jalan macet total tol"
"Mantap polisi ramah dan sabar saat melayani warga lanjut usia","positif","mantap polisi ramah sabar layan warga lanjut usia"
"Program Jumat Curhat yang diselenggarakan polisi sangat bermanfaat","positif","program jumat curhat selenggara polisi sangat manfaat"
"Senang lihat polisi ikut bersih-bersih lingkungan","positif","senang lihat polisi ikut bersih lingkung"
"Maju terus kepolisian indonesiaa!","positif","maju terus polisi indonesiaa"
"Saya lihat polisi sedang mengatur lalu lintas pagi tadi","netral","lihat polisi sedang atur lalu lintas pagi tadi"
"Ada patroli motor lewat depan rumah sekitar jam 9 malam","netral","patroli motor lewat depan rumah jam malam"
"Polisi berdiri di perempatan dekat pasar sejak pagi","netral","polisi diri empat dekat pasar sejak pagi"
"Saya lihat polisi berjaga di depan sekolah setiap pagi","netral","lihat polisi jaga depan sekolah pagi"
"Mobil patroli berhenti sebentar di warung pinggir jalan","netral","mobil patroli henti bentar warung pinggir jalan"
"Polisi terlihat berdiskusi dengan petugas Dishub di simpang empat","netral","polisi lihat diskusi tugas dishub simpang empat"
"Saya lihat polisi mencatat plat nomor kendaraan yang parkir sembarangan","netral","lihat polisi catat plat nomor kendara parkir sembarang"
"Polisi sempat mengatur lalu lintas saat lampu merah mati","netral","polisi sempat atur lalu lintas lampu merah mati"
"Polisi memantau situasi saat pertandingan sepak bola di stadion","netral","polisi pantau situasi tanding sepak bola stadion"
"Ada petugas polisi yang lewat saat saya sedang jogging di taman","netral","tugas polisi lewat sedang jogging taman"
"Polisi membagikan brosur lalu lintas di lampu merah","netral","polisi bagi brosur lalu lintas lampu merah"
"Saya sempat berpapasan dengan polisi yang sedang patroli jalan kaki","netral","sempat papas polisi sedang patroli jalan kaki"
"Ada polisi yang berjaga di tempat ibadah saat hari besar agama","netral","polisi jaga tempat ibadah hari besar agama"
"Polisi ikut memantau proses pendataan ulang warga oleh RT","netral","polisi ikut pantau proses data ulang warga rt"
"Petugas terlihat memantau dari kejauhan saat ada acara konser kecil","netral","tugas lihat pantau jauh acara konser kecil"
"Polisi berada di depan gedung pemerintahan saat rapat daerah berlangsung","netral","polisi ada depan gedung perintah rapat daerah langsung"
"Saat pemilu, polisi berjaga di TPS sampai penghitungan selesai","netral","milu polisi jaga tps hitung selesai"
"Polisi hanya berdiri di pinggir jalan saat ada aksi damai","netral","polisi diri pinggir jalan aksi damai"
"Polisi terlihat memotret situasi lalu lintas dari pinggir jalan","netral","polisi lihat potret situasi lalu lintas pinggir jalan"
"Polisi hadir saat kegiatan gotong royong tapi tidak ikut turun langsung","netral","polisi hadir giat gotong royong ikut turun langsung"
"Polisi terlihat memantau kondisi pasar tanpa banyak interaksi","netral","polisi lihat pantau kondisi pasar banyak interaksi"
"Polisi membantu membuka jalan untuk mobil besar yang mogok","netral","polisi bantu buka jalan mobil besar mogok"
"Polisi terlihat mendampingi petugas PLN saat perbaikan kabel","netral","polisi lihat damping tugas pln baik kabel"
"Polisi terlihat berjaga di area parkir mall saat weekend","netral","polisi lihat jaga area parkir memall weekend"
"Polisi berjaga di dekat pom bensin yang antre panjang","netral","polisi jaga dekat pom bensin antre panjang"
"Polisi tampak berbicara dengan supir truk di pinggir jalan tol","netral","polisi tampak bicara supir truk pinggir jalan tol"
"Saya lihat polisi menyalakan lampu strobo di perempatan ramai","netral","lihat polisi salak lampu strobo empat ramai"
"Polisi memeriksa kendaraan besar di jalan utama kota","netral","polisi periksa kendara besar jalan utama kota"
"Polisi terlihat diam di pos pantau selama hujan deras","netral","polisi lihat diam pos pantau lama hujan deras"
"Polisi membantu arahkan truk besar saat parkir di tepi jalan","netral","polisi bantu arah truk besar parkir tepi jalan"
"Polisi memeriksa lampu lalu lintas yang tiba-tiba mati","netral","polisi periksa lampu lalu lintas tiba mati"
"Polisi mendampingi tim medis di acara pemeriksaan gratis","netral","polisi damping tim medis acara periksa gratis"
"Polisi terlihat memantau jalur sepeda dari mobil patroli","netral","polisi lihat pantau jalur sepeda mobil patroli"
"Polisi mengamati situasi dari atas motor di pinggir jalan","netral","polisi amat situasi atas motor pinggir jalan"
"Polisi terlihat diam di dekat halte, mungkin sedang memantau","netral","polisi lihat diam dekat halte mungkin sedang pantau"
"Polisi terlihat parkir di pinggir jalan sambil memantau situasi","netral","polisi lihat parkir pinggir jalan pantau situasi"
"Saya lihat polisi hadir di masjid saat salat Jumat tapi tidak masuk","netral","lihat polisi hadir masjid salat jumat masuk"
"Polisi sempat terlihat mencatat plat motor di pinggir jalan","netral","polisi sempat lihat catat plat motor pinggir jalan"
"Petugas terlihat memeriksa dokumen sopir angkot, lalu pergi","netral","tugas lihat periksa dokumen sopir angkot lalu pergi"
"Polisi sempat keliling kompleks siang hari lalu keluar lagi","netral","polisi sempat keliling kompleks siang hari lalu keluar"
"Saya lihat polisi hanya menonton saat warga melakukan kerja bakti","netral","lihat polisi tonton warga laku kerja bakti"
"Mobil patroli muter-muter di sekitar kompleks tiap sore","netral","mobil patroli puter kompleks tiap sore"
